Derivative_0,Derivative_1,Derivative_2,Derivative_3,Derivative_4,Derivative_5,Derivative_6,Derivative_7
11501.849609375,-152.099609375,-208.2802734375,692.66015625,-1167.3505859375,1784.0830078125,-2944.0205078125,5200.029296875
11349.75,-360.3798828125,484.3798828125,-474.6904296875,616.732421875,-1159.9375,2256.0087890625,-3845.671875
10989.3701171875,124.0,9.689453125,142.0419921875,-543.205078125,1096.0712890625,-1589.6630859375,1709.353515625
11113.3701171875,133.689453125,151.7314453125,-401.1630859375,552.8662109375,-493.591796875,119.6904296875,701.619140625
11247.0595703125,285.4208984375,-249.431640625,151.703125,59.2744140625,-373.9013671875,821.3095703125,-1753.1533203125
11532.48046875,35.9892578125,-97.728515625,210.9775390625,-314.626953125,447.408203125,-931.84375,2513.2470703125
11568.4697265625,-61.7392578125,113.2490234375,-103.6494140625,132.78125,-484.435546875,1581.4033203125,-4074.5556640625
11506.73046875,51.509765625,9.599609375,29.1318359375,-351.654296875,1096.9677734375,-2493.15234375,4887.0791015625
11558.240234375,61.109375,38.7314453125,-322.5224609375,745.3134765625,-1396.1845703125,2393.9267578125,-4023.703125
11619.349609375,99.8408203125,-283.791015625,422.791015625,-650.87109375,997.7421875,-1629.7763671875,3105.876953125
11719.1904296875,-183.9501953125,139.0,-228.080078125,346.87109375,-632.0341796875,1476.1005859375,-3532.6611328125
11535.240234375,-44.9501953125,-89.080078125,118.791015625,-285.1630859375,844.06640625,-2056.560546875,4168.564453125
11490.2900390625,-134.0302734375,29.7109375,-166.3720703125,558.9033203125,-1212.494140625,2112.00390625,-3500.482421875
11356.259765625,-104.3193359375,-136.6611328125,392.53125,-653.5908203125,899.509765625,-1388.478515625,3148.3291015625
11251.9404296875,-240.98046875,255.8701171875,-261.0595703125,245.9189453125,-488.96875,1759.8505859375,-5421.3984375
11010.9599609375,14.8896484375,-5.189453125,-15.140625,-243.0498046875,1270.8818359375,-3661.5478515625,7983.2529296875
11025.849609375,9.7001953125,-20.330078125,-258.1904296875,1027.83203125,-2390.666015625,4321.705078125,-6637.8544921875
11035.5498046875,-10.6298828125,-278.5205078125,769.6416015625,-1362.833984375,1931.0390625,-2316.1494140625,2276.71875
11024.919921875,-289.150390625,491.12109375,-593.1923828125,568.205078125,-385.1103515625,-39.4306640625,827.7373046875
10735.76953125,201.970703125,-102.0712890625,-24.9873046875,183.0947265625,-424.541015625,788.306640625,-1193.7919921875
10937.740234375,99.8994140625,-127.05859375,158.107421875,-241.4462890625,363.765625,-405.4853515625,-154.7060546875
11037.6396484375,-27.1591796875,31.048828125,-83.3388671875,122.3193359375,-41.7197265625,-560.19140625,2572.2265625
11010.48046875,3.8896484375,-52.2900390625,38.98046875,80.599609375,-601.9111328125,2012.03515625,-5137.3818359375
11014.3701171875,-48.400390625,-13.3095703125,119.580078125,-521.3115234375,1410.1240234375,-3125.3466796875,6449.5068359375
10965.9697265625,-61.7099609375,106.2705078125,-401.7314453125,888.8125,-1715.22265625,3324.16015625,-6351.142578125
10904.259765625,44.560546875,-295.4609375,487.0810546875,-826.41015625,1608.9375,-3026.982421875,4831.9638671875
