Derivative_0,Derivative_1,Derivative_2,Derivative_3,Derivative_4,Derivative_5,Derivative_6,Derivative_7
13710.4599609375,-541.9794921875,552.029296875,-606.37890625,1067.8076171875,-2073.404296875,3323.796875,-3957.7314453125
13168.48046875,10.0498046875,-54.349609375,461.4287109375,-1005.5966796875,1250.392578125,-633.9345703125,-1239.0908203125
13178.5302734375,-44.2998046875,407.0791015625,-544.16796875,244.7958984375,616.4580078125,-1873.025390625,3021.7890625
13134.23046875,362.779296875,-137.0888671875,-299.3720703125,861.25390625,-1256.5673828125,1148.763671875,-354.744140625
13497.009765625,225.6904296875,-436.4609375,561.8818359375,-395.3134765625,-107.8037109375,794.01953125,-1227.744140625
13722.7001953125,-210.7705078125,125.4208984375,166.568359375,-503.1171875,686.2158203125,-433.724609375,-702.4462890625
13511.9296875,-85.349609375,291.9892578125,-336.548828125,183.0986328125,252.4912109375,-1136.1708984375,2768.7705078125
13426.580078125,206.6396484375,-44.5595703125,-153.4501953125,435.58984375,-883.6796875,1632.599609375,-3249.7080078125
13633.2197265625,162.080078125,-198.009765625,282.1396484375,-448.08984375,748.919921875,-1617.1083984375,4298.3720703125
13795.2998046875,-35.9296875,84.1298828125,-165.9501953125,300.830078125,-868.1884765625,2681.263671875,-7116.36328125
13759.3701171875,48.2001953125,-81.8203125,134.8798828125,-567.3583984375,1813.0751953125,-4435.099609375,9125.01171875
13807.5703125,-33.6201171875,53.0595703125,-432.478515625,1245.716796875,-2622.0244140625,4689.912109375,-7899.0927734375
13773.9501953125,19.439453125,-379.4189453125,813.23828125,-1376.3076171875,2067.8876953125,-3209.1806640625,6034.44140625
13793.3896484375,-359.9794921875,433.8193359375,-563.0693359375,691.580078125,-1141.29296875,2825.2607421875,-7298.5078125
13433.41015625,73.83984375,-129.25,128.5107421875,-449.712890625,1683.9677734375,-4473.2470703125,9371.7626953125
13507.25,-55.41015625,-0.7392578125,-321.2021484375,1234.2548828125,-2789.279296875,4898.515625,-7169.4541015625
13451.83984375,-56.1494140625,-321.94140625,913.052734375,-1555.0244140625,2109.236328125,-2270.9384765625,1377.4306640625
13395.6904296875,-378.0908203125,591.111328125,-641.9716796875,554.2119140625,-161.7021484375,-893.5078125,3202.439453125
13017.599609375,213.0205078125,-50.8603515625,-87.759765625,392.509765625,-1055.2099609375,2308.931640625,-4296.3681640625
13230.6201171875,162.16015625,-138.6201171875,304.75,-662.7001953125,1253.7216796875,-1987.4365234375,2212.0283203125
13392.7802734375,23.5400390625,166.1298828125,-357.9501953125,591.021484375,-733.71484375,224.591796875,2263.90625
13416.3203125,189.669921875,-191.8203125,233.0712890625,-142.693359375,-509.123046875,2488.498046875,-7221.302734375
13605.990234375,-2.150390625,41.2509765625,90.3779296875,-651.81640625,1979.375,-4732.8046875,10174.236328125
13603.83984375,39.1005859375,131.62890625,-561.4384765625,1327.55859375,-2753.4296875,5441.431640625,-10221.22265625
13642.9404296875,170.7294921875,-429.8095703125,766.1201171875,-1425.87109375,2688.001953125,-4779.791015625,7711.9345703125
13813.669921875,-259.080078125,336.310546875,-659.7509765625,1262.130859375,-2091.7890625,2932.1435546875,-3260.5712890625
13554.58984375,77.23046875,-323.4404296875,602.3798828125,-829.658203125,840.3544921875,-328.427734375,-1572.283203125
13631.8203125,-246.2099609375,278.939453125,-227.2783203125,10.6962890625,511.9267578125,-1900.7109375,5518.8369140625
13385.6103515625,32.7294921875,51.6611328125,-216.58203125,522.623046875,-1388.7841796875,3618.1259765625,-8278.8798828125
13418.33984375,84.390625,-164.9208984375,306.041015625,-866.1611328125,2229.341796875,-4660.75390625,8152.5283203125
13502.73046875,-80.5302734375,141.1201171875,-560.1201171875,1363.1806640625,-2431.412109375,3491.7744140625,-4249.6865234375
13422.2001953125,60.58984375,-419.0,803.060546875,-1068.2314453125,1060.3623046875,-757.912109375,530.23828125
13482.7900390625,-358.41015625,384.060546875,-265.1708984375,-7.869140625,302.4501953125,-227.673828125,-729.5263671875
13124.3798828125,25.650390625,118.8896484375,-273.0400390625,294.5810546875,74.7763671875,-957.2001953125,2268.8466796875
