Derivative_0,Derivative_1,Derivative_2,Derivative_3,Derivative_4,Derivative_5,Derivative_6,Derivative_7,Derivative_8,Derivative_9
33469.83984375,-17.25,232.69140625,136.62890625,334.8515625,481.3203125,404.69921875,729.359375,327.640625,422.33984375
33534.1484375,64.30859375,47.05859375,297.0,200.9375,399.16015625,545.62890625,469.0078125,793.66796875,391.94921875
33827.73828125,293.58984375,357.8984375,340.6484375,590.58984375,494.52734375,692.75,839.21875,762.59765625,1087.2578125
33817.5703125,-10.16796875,283.421875,347.73046875,330.48046875,580.421875,484.359375,682.58203125,829.05078125,752.4296875
33817.58984375,0.01953125,-10.1484375,283.44140625,347.75,330.5,580.44140625,484.37890625,682.6015625,829.0703125
33769.3515625,-48.23828125,-48.21875,-58.38671875,235.203125,299.51171875,282.26171875,532.203125,436.140625,634.36328125
33862.46875,93.1171875,44.87890625,44.8984375,34.73046875,328.3203125,392.62890625,375.37890625,625.3203125,529.2578125
32937.25,-925.21875,-832.1015625,-880.33984375,-880.3203125,-890.48828125,-596.8984375,-532.58984375,-549.83984375,-299.8984375
33180.2890625,243.0390625,-682.1796875,-589.0625,-637.30078125,-637.28125,-647.44921875,-353.859375,-289.55078125,-306.80078125
33357.51953125,177.23046875,420.26953125,-504.94921875,-411.83203125,-460.0703125,-460.05078125,-470.21875,-176.62890625,-112.3203125
33098.171875,-259.34765625,-82.1171875,160.921875,-764.296875,-671.1796875,-719.41796875,-719.3984375,-729.56640625,-435.9765625
33380.078125,281.90625,22.55859375,199.7890625,442.828125,-482.390625,-389.2734375,-437.51171875,-437.4921875,-447.66015625
32939.1015625,-440.9765625,-159.0703125,-418.41796875,-241.1875,1.8515625,-923.3671875,-830.25,-878.48828125,-878.46875
33424.44921875,485.34765625,44.37109375,326.27734375,66.9296875,244.16015625,487.19921875,-438.01953125,-344.90234375,-393.140625
33866.5703125,442.12109375,927.46875,486.4921875,768.3984375,509.05078125,686.28125,929.3203125,4.1015625,97.21875
34019.73046875,153.16015625,595.28125,1080.62890625,639.65234375,921.55859375,662.2109375,839.44140625,1082.48046875,157.26171875
33912.51953125,-107.2109375,45.94921875,488.0703125,973.41796875,532.44140625,814.34765625,555.0,732.23046875,975.26953125
33753.421875,-159.09765625,-266.30859375,-113.1484375,328.97265625,814.3203125,373.34375,655.25,395.90234375,573.1328125
34227.53125,474.109375,315.01171875,207.80078125,360.9609375,803.08203125,1288.4296875,847.453125,1129.359375,870.01171875
34304.2109375,76.6796875,550.7890625,391.69140625,284.48046875,437.640625,879.76171875,1365.109375,924.1328125,1206.0390625
34263.83984375,-40.37109375,36.30859375,510.41796875,351.3203125,244.109375,397.26953125,839.390625,1324.73828125,883.76171875
34409.80859375,145.96875,105.59765625,182.27734375,656.38671875,497.2890625,390.078125,543.23828125,985.359375,1470.70703125
34333.48828125,-76.3203125,69.6484375,29.27734375,105.95703125,580.06640625,420.96875,313.7578125,466.91796875,909.0390625
34474.2890625,140.80078125,64.48046875,210.44921875,170.078125,246.7578125,720.8671875,561.76953125,454.55859375,607.71875
34476.98046875,2.69140625,143.4921875,67.171875,213.140625,172.76953125,249.44921875,723.55859375,564.4609375,457.25
34314.2890625,-162.69140625,-160.0,-19.19921875,-95.51953125,50.44921875,10.078125,86.7578125,560.8671875,401.76953125
33256.48828125,-1057.80078125,-1220.4921875,-1217.80078125,-1077.0,-1153.3203125,-1007.3515625,-1047.72265625,-971.04296875,-496.93359375
32937.51953125,-318.96875,-1376.76953125,-1539.4609375,-1536.76953125,-1395.96875,-1472.2890625,-1326.3203125,-1366.69140625,-1290.01171875
32038.55078125,-898.96875,-1217.9375,-2275.73828125,-2438.4296875,-2435.73828125,-2294.9375,-2371.2578125,-2225.2890625,-2265.66015625
31204.5703125,-833.98046875,-1732.94921875,-2051.91796875,-3109.71875,-3272.41015625,-3269.71875,-3128.91796875,-3205.23828125,-3059.26953125
29805.5703125,-1399.0,-2232.98046875,-3131.94921875,-3450.91796875,-4508.71875,-4671.41015625,-4668.71875,-4527.91796875,-4604.23828125
30321.91015625,516.33984375,-882.66015625,-1716.640625,-2615.609375,-2934.578125,-3992.37890625,-4155.0703125,-4152.37890625,-4011.578125
31487.810546875,1165.900390625,1682.240234375,283.240234375,-550.740234375,-1449.708984375,-1768.677734375,-2826.478515625,-2989.169921875,-2986.478515625
30990.919921875,-496.890625,669.009765625,1185.349609375,-213.650390625,-1047.630859375,-1946.599609375,-2265.568359375,-3323.369140625,-3486.060546875
31258.58984375,267.669921875,-229.220703125,936.6796875,1453.01953125,54.01953125,-779.9609375,-1678.9296875,-1997.8984375,-3055.69921875
30042.33984375,-1216.25,-948.580078125,-1445.470703125,-279.5703125,236.76953125,-1162.23046875,-1996.2109375,-2895.1796875,-3214.1484375
29008.900390625,-1033.439453125,-2249.689453125,-1982.01953125,-2478.91015625,-1313.009765625,-796.669921875,-2195.669921875,-3029.650390625,-3928.619140625
28441.619140625,-567.28125,-1600.720703125,-2816.970703125,-2549.30078125,-3046.19140625,-1880.291015625,-1363.951171875,-2762.951171875,-3596.931640625
28516.630859375,75.01171875,-492.26953125,-1525.708984375,-2741.958984375,-2474.2890625,-2971.1796875,-1805.279296875,-1288.939453125,-2687.939453125
26478.30078125,-2038.330078125,-1963.318359375,-2530.599609375,-3564.0390625,-4780.2890625,-4512.619140625,-5009.509765625,-3843.609375,-3327.26953125
25782.41015625,-695.890625,-2734.220703125,-2659.208984375,-3226.490234375,-4259.9296875,-5476.1796875,-5208.509765625,-5705.400390625,-4539.5
25997.720703125,215.310546875,-480.580078125,-2518.91015625,-2443.8984375,-3011.1796875,-4044.619140625,-5260.869140625,-4993.19921875,-5490.08984375
24200.330078125,-1797.390625,-1582.080078125,-2277.970703125,-4316.30078125,-4241.2890625,-4808.5703125,-5842.009765625,-7058.259765625,-6790.58984375
24269.509765625,69.1796875,-1728.2109375,-1512.900390625,-2208.791015625,-4247.12109375,-4172.109375,-4739.390625,-5772.830078125,-6989.080078125
23682.390625,-587.119140625,-517.939453125,-2315.330078125,-2100.01953125,-2795.91015625,-4834.240234375,-4759.228515625,-5326.509765625,-6359.94921875
24287.19921875,604.80859375,17.689453125,86.869140625,-1710.521484375,-1495.2109375,-2191.1015625,-4229.431640625,-4154.419921875,-4721.701171875
22988.330078125,-1298.869140625,-694.060546875,-1281.1796875,-1212.0,-3009.390625,-2794.080078125,-3489.970703125,-5528.30078125,-5453.2890625
23501.310546875,512.98046875,-785.888671875,-181.080078125,-768.19921875,-699.01953125,-2496.41015625,-2281.099609375,-2976.990234375,-5015.3203125
24665.66015625,1164.349609375,1677.330078125,378.4609375,983.26953125,396.150390625,465.330078125,-1332.060546875,-1116.75,-1812.640625
24878.580078125,212.919921875,1377.26953125,1890.25,591.380859375,1196.189453125,609.0703125,678.25,-1119.140625,-903.830078125
25666.2890625,787.708984375,1000.62890625,2164.978515625,2677.958984375,1379.08984375,1983.8984375,1396.779296875,1465.958984375,-331.431640625
25653.390625,-12.8984375,774.810546875,987.73046875,2152.080078125,2665.060546875,1366.19140625,1971.0,1383.880859375,1453.060546875
26163.58984375,510.19921875,497.30078125,1285.009765625,1497.9296875,2662.279296875,3175.259765625,1876.390625,2481.19921875,1894.080078125
25120.130859375,-1043.458984375,-533.259765625,-546.158203125,241.55078125,454.470703125,1618.8203125,2131.80078125,832.931640625,1437.740234375
24583.099609375,-537.03125,-1580.490234375,-1070.291015625,-1083.189453125,-295.48046875,-82.560546875,1081.7890625,1594.76953125,295.900390625
25094.83984375,511.740234375,-25.291015625,-1068.75,-558.55078125,-571.44921875,216.259765625,429.1796875,1593.529296875,2106.509765625
25607.4609375,512.62109375,1024.361328125,487.330078125,-556.12890625,-45.9296875,-58.828125,728.880859375,941.80078125,2106.150390625
27252.380859375,1644.919921875,2157.541015625,2669.28125,2132.25,1088.791015625,1598.990234375,1586.091796875,2373.80078125,2586.720703125
26799.25,-453.130859375,1191.7890625,1704.41015625,2216.150390625,1679.119140625,635.66015625,1145.859375,1132.9609375,1920.669921875
27768.830078125,969.580078125,516.44921875,2161.369140625,2673.990234375,3185.73046875,2648.69921875,1605.240234375,2115.439453125,2102.541015625
27875.509765625,106.6796875,1076.259765625,623.12890625,2268.048828125,2780.669921875,3292.41015625,2755.37890625,1711.919921875,2222.119140625
28117.220703125,241.7109375,348.390625,1317.970703125,864.83984375,2509.759765625,3022.380859375,3534.12109375,2997.08984375,1953.630859375
28031.419921875,-85.80078125,155.91015625,262.58984375,1232.169921875,779.0390625,2423.958984375,2936.580078125,3448.3203125,2911.2890625
27982.73046875,-48.689453125,-134.490234375,107.220703125,213.900390625,1183.48046875,730.349609375,2375.26953125,2887.890625,3399.630859375
28444.890625,462.16015625,413.470703125,327.669921875,569.380859375,676.060546875,1645.640625,1192.509765625,2837.4296875,3350.05078125
28442.26953125,-2.62109375,459.5390625,410.849609375,325.048828125,566.759765625,673.439453125,1643.01953125,1189.888671875,2834.80859375
27907.919921875,-534.349609375,-536.970703125,-74.810546875,-123.5,-209.30078125,32.41015625,139.08984375,1108.669921875,655.5390625
